url,price,year,name,ID,Marca,Modelo,Versión,Año,Cilindrada,Kilómetros,Puertas,Tipo de combustible,Placa
https://articulo.tucarro.com.co/MCO-552153329-mercedes-benz-clase-c-c-180-_JM#position=6&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,20.000.000,1998 | 120000 km,Mercedes-benz Clase C C 180,MCO552153329,Mercedes-Benz,Clase C,C 180,1998,,120.000 km,4,Gasolina,BKL 406
https://articulo.tucarro.com.co/MCO-554419473-mercedes-benz-clase-c-cla-180-urban-plus-2017-_JM#position=7&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,88.000.000,2017 | 35000 km,Mercedes-benz Clase C Cla 180 Urban Plus,MCO554419473,Mercedes-Benz,Clase C,CLA 180 URBAN PLUS,2017,,35.000 km,5,Gasolina,DOS701
https://articulo.tucarro.com.co/MCO-551830592-mercedes-benz-c180-2012-automatico-_JM#position=8&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,50.000.000,2012 | 114000 km,Mercedes-benz Clase C C180,MCO551830592,Mercedes-Benz,Clase C,C180,2012,1.8 cc,114.000 km,4,Gasolina,DHK909
https://articulo.tucarro.com.co/MCO-554502383-mercedes-benz-kompressor-c200-_JM#position=9&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,23.000.000,2002 | 200000 km,Mercedes-benz Clase C Komprerssor C200,MCO554502383,Mercedes-Benz,Clase C,Komprerssor C200,2002,2000 cc,200.000 km,4,Gasolina,BRW467
https://articulo.tucarro.com.co/MCO-554392259-mercedes-benz-c-180-k-2009-_JM#position=10&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,47.000.000,2009 | 26900 km,Mercedes-benz Clase C C 180 K,MCO554392259,Mercedes-Benz,Clase C,C 180 K,2009,1796 cc,26.900 km,5,Gasolina,DBR769
https://articulo.tucarro.com.co/MCO-554227585-mercedes-benz-clase-c-c200-exclusive-2016-_JM#position=11&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,90.000.000,2016 | 19500 km,Mercedes-benz Clase C C200,MCO554227585,Mercedes-Benz,Clase C,C200,2016,2000 cc,19.500 km,5,Gasolina,4
https://articulo.tucarro.com.co/MCO-553974515-mercedes-benz-c200-kompressor-unico-dueno-_JM#position=12&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,45.000.000,2009 | 74000 km,Mercedes-benz Clase C C200 Kompressor,MCO553974515,Mercedes-Benz,Clase C,C200 KOMPRESSOR,2009,1800 cc,74.000 km,4,Gasolina,5
https://articulo.tucarro.com.co/MCO-553160101-mercedes-benz-clase-c-c250-amg-_JM#position=13&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,112.000.000,2017 | 16000 km,Mercedes-benz Clase C C250 Amg,MCO553160101,Mercedes-Benz,Clase C,C250 AMG,2017,,16.000 km,4,Gasolina,xxx006
https://articulo.tucarro.com.co/MCO-551696376-mercedes-benz-clase-c-c180-kompressor-_JM#position=14&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,60.000.000,2012 | 66000 km,Mercedes-benz Clase C C180 Kompressor,MCO551696376,Mercedes-Benz,Clase C,C180 Kompressor,2012,,66.000 km,5,Gasolina,RIZ774
https://articulo.tucarro.com.co/MCO-554564576-mercedes-clase-c-version-europea-coupe-exclusivo-_JM#position=15&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,38.000.000,2005 | 101000 km,Mercedes-benz Clase C Clase C Versión Europea,MCO554564576,Mercedes-Benz,Clase C,clase C versión Europea,2005,2000 cc,101.000 km,3,Gasolina,BBB400
https://articulo.tucarro.com.co/MCO-553898963-mercedes-benz-clase-c-2014-2014-_JM#position=16&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,59.000.000,2014 | 45500 km,Mercedes-benz Clase C 2014,MCO553898963,Mercedes-Benz,Clase C,2014,2014,,45.500 km,4,Gasolina,HSQ505
https://articulo.tucarro.com.co/MCO-553362804-mercedes-c180-advantage-_JM#position=17&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,95.000.000,2018 | 10000 km,Mercedes-benz Clase C Advantage,MCO553362804,Mercedes-Benz,Clase C,advantage,2018,1.6 cc,10.000 km,5,Gasolina,bogota
https://articulo.tucarro.com.co/MCO-552929359-mercedes-benz-clase-c-avant-garde-_JM#position=18&type=item&tracking_id=8c8016e0-e9e9-48a7-81cd-d1a866793932,84.000.000,2017 | 22700 km,Mercedes-benz Clase C Avant-garde,MCO552929359,Mercedes-Benz,Clase C,Avant-garde,2017,,22.700 km,5,Gasolina,4
